No,"Mac Address",Address,"To Address",Type,Bypassed,Disabled
74,44:CB:8B:DA:4E:CC,10.111.57.47,10.111.57.47,bypassed,true,false
75,44:CB:8B:DA:1B:C0,10.111.57.216,10.111.57.216,bypassed,true,false
76,44:CB:8B:DA:1A:F4,10.111.57.254,10.111.57.254,bypassed,true,false
77,44:CB:8B:DA:4E:C8,10.111.58.64,10.111.58.64,bypassed,true,false
78,44:CB:8B:DA:38:F4,10.111.58.127,10.111.58.127,bypassed,true,false
79,80:5B:65:31:31:14,10.111.58.168,10.111.58.168,bypassed,true,false
80,40:2F:86:03:3A:D8,10.111.59.167,10.111.59.167,bypassed,true,false
81,44:CB:8B:DA:1A:B2,10.111.59.194,10.111.59.194,bypassed,true,false
82,44:CB:8B:DA:3C:FC,10.111.59.217,10.111.59.217,bypassed,true,false
83,44:CB:8B:DA:1A:B4,10.111.59.218,10.111.59.218,bypassed,true,false
84,44:CB:8B:DA:1C:E8,10.111.60.15,10.111.60.15,bypassed,true,false
85,44:CB:8B:DA:4F:1C,10.111.60.38,10.111.60.38,bypassed,true,false
86,64:CB:E9:71:B9:EA,10.111.60.91,10.111.60.91,bypassed,true,false
87,44:CB:8B:D9:FC:B0,10.111.46.39,10.111.46.39,bypassed,true,false
88,44:CB:8B:DA:1A:CE,10.111.45.244,10.111.45.244,bypassed,true,false
89,44:CB:8B:DA:1D:3E,10.111.44.234,10.111.44.234,bypassed,true,false
90,44:CB:8B:DA:3D:D6,10.111.44.33,10.111.44.33,bypassed,true,false
91,44:CB:8B:8E:F7:1E,10.111.43.240,10.111.43.240,bypassed,true,false
92,44:CB:8B:DA:13:EA,10.111.40.185,10.111.40.185,bypassed,true,false
93,44:CB:8B:E6:AF:64,10.111.39.254,10.111.39.254,bypassed,true,false
94,44:CB:8B:DA:1A:EE,10.111.39.220,10.111.39.220,bypassed,true,false
95,44:CB:8B:8E:FD:38,10.111.35.247,10.111.35.247,bypassed,true,false
96,44:CB:8B:DA:1A:B0,10.111.35.38,10.111.35.38,bypassed,true,false
97,44:CB:8B:DA:55:3C,10.111.35.14,10.111.35.14,bypassed,true,false
98,44:CB:8B:DA:3D:0E,10.111.34.143,10.111.34.143,bypassed,true,false
99,40:2F:86:F7:46:C8,10.111.32.240,10.111.32.240,bypassed,true,false
100,44:CB:8B:DA:4E:F6,10.111.32.209,10.111.32.209,bypassed,true,false
101,44:CB:8B:DA:1C:32,10.111.58.132,10.111.58.132,bypassed,true,false
102,44:CB:8B:DA:55:AC,10.111.54.84,10.111.54.84,bypassed,true,false
103,44:CB:8B:E4:A4:74,10.111.54.144,10.111.54.144,bypassed,true,false
104,44:CB:8B:E6:AF:22,10.111.41.73,10.111.41.73,bypassed,true,false
105,44:CB:8B:DA:1C:2E,10.111.35.87,10.111.35.87,bypassed,true,false
